id,name,abbreviation,coordinates
1,700 Westwood Plaza,700 WWP,"(34.0666091051201,-118.444854073989)"
2,Marion Anderson Hall,ANDERSON,"(34.0739754405406,-118.442851111179)"
3,Ackerman Student Union,AU,"(34.0703670387242,-118.444522522885)"
4,Biomedical Sciences Research Building,BIO SCI,"(34.0674132326415,-118.440949621166)"
5,Brain Mapping Center,BMC,"(34.0667912206545,-118.444382307547)"
6,Boelter Hall,BOELTER,"(34.0687691264634,-118.442986380393)"
7,Botany Building,BOTANY,"(34.0668081419033,-118.44109760244)"
8,Boyer Hall,BOYER,"(34.0681839295436,-118.441757442864)"
9,Bradley Hall,BRADLEY,"(34.0693761170953,-118.449535375495)"
10,Brain Research Institute,BRI,"(34.0664197165746,-118.444413465613)"
11,Broad Art Center,BROAD,"(34.0758852174262,-118.441186330837)"
12,Bunche Hall,BUNCHE,"(34.0743630402673,-118.440358160502)"
13,Campbell Hall,CAMPBEL,"(34.073868817137,-118.441314469224)"
14,Carnesale Commons,CARNESL,"(34.0721641139601,-118.449812908206)"
15,William Andrews Clark Memorial Library,CLARK,"(34.0330154118823,-118.314441871269)"
16,California NanoSystems Institute,CNSI,"(34.0680519966075,-118.44270118146)"
17,Collins Center for Executive Education,COLLINS,"(34.0735236983425,-118.444465523882)"
18,Cornell Hall,CORNELL,"(34.0739835071974,-118.443345020194)"
19,Covel Commons,COVEL,"(34.0730672116123,-118.44991713344)"
20,Canyon Point,CNYN PT,"(34.073534735457,-118.450752301651)"
21,De Neve Plaza Commons Building,DE NEVE,"(34.0703688491673,-118.450175061318)"
22,"Dentistry, School of",DENT,"(34.0662284687042,-118.441994482216)"
23,Dodd Hall,DODD,"(34.0727747375123,-118.439268483401)"
24,Dykstra Hall,DYKSTRA,"(34.070031429689,-118.450116590874)"
25,Engineering IV,ENGR IV,"(34.0687948206508,-118.444007277086)"
26,Engineering V,ENGR V,"(34.0694525479702,-118.443752037866)"
27,Engineering VI,ENGR VI,"(34.0695423299014,-118.44443724312)"
28,Entrepreneurs Hall,ENTRPNR,"(34.073586843446,-118.443333125601)"
29,Factor Health Sciences Building,FACTOR,"(34.0667694601872,-118.442006504369)"
30,Fernald Center,FERNALD,"(34.0763682945751,-118.443637676042)"
31,Fowler Museum at UCLA,FOWLER,"(34.0729398230405,-118.443170906929)"
32,Franz Hall,FRANZ,"(34.0697207772907,-118.441566185251)"
33,Geffen Hall,GEFFENHL,"(34.0645686884441,-118.442239309064)"
34,Geology Building,GEOLOGY,"(34.0692254629715,-118.441187969364)"
35,Gold Hall,GOLD,"(34.0736403101129,-118.443911607407)"
36,Gonda (Goldschmied) Neuroscience and Genetics Research Center,GONDA,"(34.0674883957759,-118.44475559887)"
37,Graduate School of Education and Information Studies Building,GSEIS,"(34.0751035499542,-118.442132362832)"
38,Haines Hall,HAINES,"(34.0728891135567,-118.441276405809)"
39,Hedrick Hall,HEDRICK,"(34.0730353278406,-118.452324648046)"
40,Hershey Hall,HERSHEY,"(34.066887415516,-118.439948309543)"
41,Center for the Health Sciences,HLTHSCI,"(34.066324906799,-118.443249090003)"
42,Kaplan Hall,KAPLAN,"(34.0716116024038,-118.441209249555)"
43,Kaufman Hall,KAUFMAN,"(34.0728338315607,-118.444094896962)"
44,Kerckhoff Hall,KH,"(34.0704191322911,-118.443621514452)"
45,Kinsey Science Teaching Pavilion,KNSY PV,"(34.0700947024081,-118.441272979634)"
46,Knudsen Hall,KNUDSEN,"(34.0703105302607,-118.441272981431)"
47,Korn Convocation Hall,KORN,"(34.0737189880135,-118.443126805937)"
48,UCLA Lab School 1,LABSCH1,"(34.0753804291195,-118.444183257948)"
49,La Kretz Hall,LAKRETZ,"(34.0675997927077,-118.442556390104)"
50,Law Building,LAW,"(34.0730390356718,-118.438436426055)"
51,La Kretz Garden Pavilion,LKGP,"(34.0667296771091,-118.441562844417)"
52,Life Sciences,LS,"(34.06723301974,-118.4422592849)"
53,Lu Valle Commons,LUVALLE,"(34.0736327650311,-118.439252491592)"
54,MacDonald Medical Research Laboratories,MACDNLD,"(34.0673818668998,-118.444094369651)"
55,Macgowan Hall,MACGOWN,"(34.0759365300458,-118.439571137498)"
56,Macgowan Hall East,MCGWN E,"(34.0761287835611,-118.439260467734)"
57,"Marion Davies Children's Center",MDCC,"(34.0652140254821,-118.442463722595)"
58,Melnitz Hall,MELNITZ,"(34.0764349212766,-118.439997176098)"
59,Molecular Sciences Building,MOL SCI,"(34.0681742512738,-118.440854819259)"
60,Moore Hall,MOORE,"(34.0704333538955,-118.442654668491)"
61,Morton Medical Building,MORTON,"(34.0649546732039,-118.446631496779)"
62,Medical Plaza 100,MP 100,"(34.0654541567325,-118.445693670894)"
63,Medical Plaza 300,MP 300,"(34.0644314394693,-118.446078966404)"
64,Mathematical Sciences,MS,"(34.0695790205573,-118.442882995982)"
65,Murphy Hall (Administration),MURPHY,"(34.071582680382,-118.43873401096)"
66,Neuroscience Research Building,NEUROSC,"(34.0675414748717,-118.443346900368)"
67,Northwest Campus Auditorium,NWAUD,"(34.0718590330667,-118.450487724444)"
68,Orthopedic Hospital Research Center,OHRC,"(34.0674278789134,-118.441535743143)"
69,Ostin Music Center,OSTIN,"(34.0704172563667,-118.440538639229)"
70,Physics and Astronomy Building,PAB,"(34.0707677700087,-118.441587458256)"
71,Perloff Hall,PERLOFF,"(34.0733022987163,-118.440207532792)"
72,Portola Plaza Building,PORTOLA,"(34.070220850344,-118.441860264031)"
73,Powell Library Building,POWELL,"(34.0716222319959,-118.442159086814)"
74,Public Affairs Building (formerly Public Policy Bldg),PUB AFF,"(34.0744326359529,-118.439177145398)"
75,"Public Health, School of",PUB HLT,"(34.0667133005638,-118.443665426798)"
76,Ueberroth Building,PVUB,"(34.0640274723085,-118.446970847056)"
77,Reed Neurological Research Center,REED,"(34.0662918246321,-118.444860589469)"
78,Rieber Hall,RIEBER,"(34.0718973999345,-118.451589960891)"
79,Eugene and Maxine Rosenfeld Library,ROSNFLD,"(34.0744424295849,-118.443391156769)"
80,Rolfe Hall,ROLFE,"(34.0737101764971,-118.442136980173)"
81,Royce Hall,ROYCE,"(34.0728249180108,-118.442159086814)"
82,Student Activities Center,SAC,"(34.0715722457415,-118.444114862918)"
83,Sculpture Garden,SCULPT,"(34.0749646594922,-118.439695107702)"
84,Semel Institute for Neuroscience and Human Behavior (formerly NPI&H),SEMEL,"(34.0657295262794,-118.444633339059)"
85,Slichter Hall,SLICHTR,"(34.068896051015,-118.440761349554)"
86,Schoenberg Music Building,SMB,"(34.07058758731,-118.440140840967)"
87,Sproul Hall,SPROUL,"(34.0724725913206,-118.450189635585)"
88,Terasaki Life Sciences Building,TERASKI,"(34.0672759510668,-118.440109759258)"
89,"UCLA Lab School, Seeds Campus",UES,"(34.0753804291195,-118.444183257948)"
90,Wasserman Building,WASSRMN,"(34.0652329257798,-118.444733736571)"
91,Young Hall,WGYOUNG,"(34.0685308009514,-118.441315290284)"
92,Wooden Recreation and Sports Center,WOODEN,"(34.071607900463,-118.445382765771)"
93,Young Research Library,YRL,"(34.0749720764738,-118.441470766202)"
94,East Melnitz,E MLNTZ,"(34.0764125122281,-118.439345099813)"